LLM,Alignment,Tokens,Cost
llama3:8b,bio-ml/ncit-doid/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,bio-ml/ncit-doid/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,bio-ml/ncit-doid/component/llm_with_matching_agent,0,0.0
llama3:8b,bio-ml/omim-ordo/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,bio-ml/omim-ordo/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,bio-ml/omim-ordo/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/envo-sweet/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/envo-sweet/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/envo-sweet/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/fish-zooplankton/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/fish-zooplankton/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/fish-zooplankton/component/llm_with_matching_agent,0,0.0
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/llm_with_retrieve_agent_1,0,0.0
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/llm_with_retrieve_agent_2,0,0.0
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/llm_with_matching_agent,0,0.0
