LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source_no_validation,48.34,93.01,63.61
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source,82.97,91.89,87.20
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target_no_validation,46.59,94.53,62.41
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target,85.50,92.15,88.70
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/no_validation,88.46,90.50,89.47
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent,95.54,88.92,92.11
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent_filter,87.21,71.38,78.50
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/source_no_validation,16.67,13.04,14.63
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/source,42.86,13.04,20.00
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/target_no_validation,6.00,13.04,8.22
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/target,37.50,13.04,19.35
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/no_validation,18.75,13.04,15.38
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/llm_with_agent,42.86,13.04,20.00
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/source_no_validation,40.53,60.93,48.68
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/source,84.18,49.34,62.21
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/target_no_validation,42.11,83.11,55.90
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/target,84.15,79.14,81.57
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/no_validation,67.19,56.95,61.65
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/llm_with_agent,92.00,45.70,61.06
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/source_no_validation,22.14,98.41,36.15
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/source,68.60,93.65,79.19
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/target_no_validation,22.14,98.41,36.15
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/target,61.29,90.48,73.08
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/no_validation,59.62,98.41,74.25
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/llm_with_agent,86.36,90.48,88.37
gpt-4o-2024-05-13,conference/cmt-conference/component/source_no_validation,19.35,80.00,31.17
gpt-4o-2024-05-13,conference/cmt-conference/component/source,60.00,40.00,48.00
gpt-4o-2024-05-13,conference/cmt-conference/component/target_no_validation,14.77,86.67,25.24
gpt-4o-2024-05-13,conference/cmt-conference/component/target,35.29,40.00,37.50
gpt-4o-2024-05-13,conference/cmt-conference/component/no_validation,34.38,73.33,46.81
gpt-4o-2024-05-13,conference/cmt-conference/component/llm_with_agent,55.56,33.33,41.67
gpt-4o-2024-05-13,conference/cmt-confof/component/source_no_validation,17.07,43.75,24.56
gpt-4o-2024-05-13,conference/cmt-confof/component/source,70.00,43.75,53.85
gpt-4o-2024-05-13,conference/cmt-confof/component/target_no_validation,20.00,56.25,29.51
gpt-4o-2024-05-13,conference/cmt-confof/component/target,54.55,37.50,44.44
gpt-4o-2024-05-13,conference/cmt-confof/component/no_validation,35.29,37.50,36.36
gpt-4o-2024-05-13,conference/cmt-confof/component/llm_with_agent,66.67,37.50,48.00
gpt-4o-2024-05-13,conference/cmt-edas/component/source_no_validation,15.15,76.92,25.32
gpt-4o-2024-05-13,conference/cmt-edas/component/source,69.23,69.23,69.23
gpt-4o-2024-05-13,conference/cmt-edas/component/target_no_validation,11.24,76.92,19.61
gpt-4o-2024-05-13,conference/cmt-edas/component/target,47.37,69.23,56.25
gpt-4o-2024-05-13,conference/cmt-edas/component/no_validation,38.46,76.92,51.28
gpt-4o-2024-05-13,conference/cmt-edas/component/llm_with_agent,81.82,69.23,75.00
gpt-4o-2024-05-13,conference/cmt-ekaw/component/source_no_validation,12.07,63.64,20.29
gpt-4o-2024-05-13,conference/cmt-ekaw/component/source,33.33,54.55,41.38
gpt-4o-2024-05-13,conference/cmt-ekaw/component/target_no_validation,11.11,72.73,19.28
gpt-4o-2024-05-13,conference/cmt-ekaw/component/target,28.57,54.55,37.50
gpt-4o-2024-05-13,conference/cmt-ekaw/component/no_validation,30.43,63.64,41.18
gpt-4o-2024-05-13,conference/cmt-ekaw/component/llm_with_agent,50.00,54.55,52.17
gpt-4o-2024-05-13,conference/cmt-iasted/component/source_no_validation,10.26,100.00,18.60
gpt-4o-2024-05-13,conference/cmt-iasted/component/source,57.14,100.00,72.73
gpt-4o-2024-05-13,conference/cmt-iasted/component/target_no_validation,9.76,100.00,17.78
gpt-4o-2024-05-13,conference/cmt-iasted/component/target,33.33,100.00,50.00
gpt-4o-2024-05-13,conference/cmt-iasted/component/no_validation,26.67,100.00,42.11
gpt-4o-2024-05-13,conference/cmt-iasted/component/llm_with_agent,80.00,100.00,88.89
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/source_no_validation,29.27,100.00,45.28
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/source,73.33,91.67,81.48
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/target_no_validation,29.27,100.00,45.28
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/target,68.75,91.67,78.57
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/no_validation,66.67,100.00,80.00
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/llm_with_agent,78.57,91.67,84.62
gpt-4o-2024-05-13,conference/conference-confof/component/source_no_validation,17.44,100.00,29.70
gpt-4o-2024-05-13,conference/conference-confof/component/source,71.43,66.67,68.97
gpt-4o-2024-05-13,conference/conference-confof/component/target_no_validation,26.09,80.00,39.34
gpt-4o-2024-05-13,conference/conference-confof/component/target,75.00,60.00,66.67
