Alignment,Precision,Recall,F1
mse/MaterialInformation-EMMO/component/source_no_validation,79.73,93.65,86.13
mse/MaterialInformation-EMMO/component/source,86.57,92.06,89.23
mse/MaterialInformation-EMMO/component/target_no_validation,77.33,92.06,84.06
mse/MaterialInformation-EMMO/component/target,82.35,88.89,85.50
mse/MaterialInformation-EMMO/component/no_validation,89.23,92.06,90.62
mse/MaterialInformation-EMMO/component/,93.33,88.89,91.06
mse/MaterialInformation-MatOnto/component/source_no_validation,50.62,53.97,52.24
mse/MaterialInformation-MatOnto/component/source,66.53,52.65,58.78
mse/MaterialInformation-MatOnto/component/target_no_validation,53.68,74.83,62.52
mse/MaterialInformation-MatOnto/component/target,68.39,78.81,73.23
mse/MaterialInformation-MatOnto/component/no_validation,73.91,50.66,60.12
mse/MaterialInformation-MatOnto/component/,86.67,51.66,64.73
mse/MaterialInformationReduced-MatOnto/component/source_no_validation,33.33,30.43,31.82
mse/MaterialInformationReduced-MatOnto/component/source,42.86,26.09,32.43
mse/MaterialInformationReduced-MatOnto/component/target_no_validation,18.18,26.09,21.43
mse/MaterialInformationReduced-MatOnto/component/target,42.86,26.09,32.43
mse/MaterialInformationReduced-MatOnto/component/no_validation,35.29,26.09,30.00
mse/MaterialInformationReduced-MatOnto/component/,45.45,21.74,29.41
anatomy/mouse-human-suite/component/source_no_validation,56.56,90.11,69.50
anatomy/mouse-human-suite/component/source,61.57,91.62,73.65
anatomy/mouse-human-suite/component/target_no_validation,58.27,92.94,71.63
anatomy/mouse-human-suite/component/target,63.76,93.54,75.83
anatomy/mouse-human-suite/component/no_validation,91.14,86.87,88.96
anatomy/mouse-human-suite/component/,92.55,88.52,90.49
conference/cmt-conference/component/source_no_validation,21.95,60.00,32.14
conference/cmt-conference/component/source,27.78,66.67,39.22
conference/cmt-conference/component/target_no_validation,23.08,80.00,35.82
conference/cmt-conference/component/target,27.27,80.00,40.68
conference/cmt-conference/component/no_validation,36.00,60.00,45.00
conference/cmt-conference/component/,43.48,66.67,52.63
conference/cmt-confof/component/source_no_validation,33.33,62.50,43.48
conference/cmt-confof/component/source,38.46,62.50,47.62
