Alignment,Precision,Recall,F1
conference/cmt-confof/component/-1.0source,75.00,18.75,30.00
conference/cmt-confof/component/-1.0target,75.00,18.75,30.00
conference/cmt-confof/component/-1.0,75.00,18.75,30.00
conference/cmt-confof/component/-0.9source,45.00,56.25,50.00
conference/cmt-confof/component/-0.9target,47.62,62.50,54.05
conference/cmt-confof/component/-0.9,52.94,56.25,54.55
conference/cmt-confof/component/-0.8source,20.69,75.00,32.43
conference/cmt-confof/component/-0.8target,20.83,62.50,31.25
conference/cmt-confof/component/-0.8,36.36,50.00,42.11
conference/cmt-confof/component/-0.7source,19.67,75.00,31.17
conference/cmt-confof/component/-0.7target,21.28,62.50,31.75
conference/cmt-confof/component/-0.7,40.00,50.00,44.44
conference/cmt-confof/component/-0.6source,20.69,75.00,32.43
conference/cmt-confof/component/-0.6target,19.15,56.25,28.57
conference/cmt-confof/component/-0.6,40.00,50.00,44.44
conference/cmt-confof/component/-0.5source,20.34,75.00,32.00
conference/cmt-confof/component/-0.5target,20.83,62.50,31.25
conference/cmt-confof/component/-0.5,40.00,50.00,44.44
conference/cmt-confof/component/-0.4source,20.00,75.00,31.58
conference/cmt-confof/component/-0.4target,20.83,62.50,31.25
conference/cmt-confof/component/-0.4,40.00,50.00,44.44
conference/cmt-confof/component/-0.3source,19.35,75.00,30.77
conference/cmt-confof/component/-0.3target,21.28,62.50,31.75
conference/cmt-confof/component/-0.3,42.11,50.00,45.71
conference/cmt-confof/component/-0.2source,19.35,75.00,30.77
conference/cmt-confof/component/-0.2target,21.74,62.50,32.26
conference/cmt-confof/component/-0.2,40.00,50.00,44.44
conference/cmt-confof/component/-0.1source,19.67,75.00,31.17
conference/cmt-confof/component/-0.1target,20.83,62.50,31.25
conference/cmt-confof/component/-0.1,40.00,50.00,44.44
