LLM,Alignment,Tokens,Cost
gpt-3.5-turbo-0125,conference/cmt-conference/component/LLM-Zero-Shot,302723,0.31467250000000047
gpt-3.5-turbo-0125,conference/cmt-conference/component/LLM-Few-Shot,6070800,4.838134000000006
gpt-3.5-turbo-0125,conference/cmt-conference/component/llm_with_retrieve_agent_1,163481,0.12344649999999986
gpt-3.5-turbo-0125,conference/cmt-conference/component/llm_with_retrieve_agent_2,122,7.500000000000001e-05
gpt-3.5-turbo-0125,conference/cmt-conference/component/llm_with_matching_agent,161022,0.10880600000000014
gpt-4o-2024-05-13,conference/cmt-conference/component/llm_with_retrieve_agent_1,170033,1.3292549999999979
gpt-4o-2024-05-13,conference/cmt-conference/component/llm_with_retrieve_agent_2,126,0.00081
gpt-4o-2024-05-13,conference/cmt-conference/component/llm_with_matching_agent,200465,1.429494999999995
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_1,4558797,3.4147265000009615
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_2,122,7.500000000000001e-05
gpt-3.5-turbo-0125,anatomy/mouse-human-suite/component/llm_with_matching_agent,5210865,3.609306499999178
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_1,4888280,38.97291000000189
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_2,126,0.00081
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_matching_agent,5989294,43.256090000008726
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_1,6881985,0.0
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_2,143,0.0
claude-3-sonnet-20240229,anatomy/mouse-human-suite/component/llm_with_matching_agent,8147033,0.0
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_1,6556342,0.0
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_2,138,0.0
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_2,138,0.0
claude-3-haiku-20240307,anatomy/mouse-human-suite/component/llm_with_matching_agent,7066382,0.0
gpt-4o-2024-05-13,conference/cmt-confof/component/llm_with_retrieve_agent_1,132964,1.0414299999999979
gpt-4o-2024-05-13,conference/cmt-confof/component/llm_with_retrieve_agent_2,126,0.00081
gpt-4o-2024-05-13,conference/cmt-confof/component/llm_with_matching_agent,130716,0.9127199999999994
mistral-small-2402,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_1,5735741,0.0
mistral-small-2402,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_2,133,0.0
mistral-small-2402,anatomy/mouse-human-suite/component/llm_with_matching_agent,6694189,0.0
mistral-large-2402,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_1,6399316,0.0
mistral-large-2402,anatomy/mouse-human-suite/component/llm_with_retrieve_agent_2,133,0.0
