LLM,Alignment,Precision,Recall,F1
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/source_no_validation,52.41,99.43,68.64
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/source,55.24,99.43,71.02
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/target_no_validation,52.10,99.43,68.37
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/target,53.87,99.43,69.88
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/no_validation,59.39,99.43,74.36
llama3:8b,biodiv/taxrefldBacteria-ncbitaxonBacteria/component/llm_with_agent,59.59,99.43,74.52
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/source_no_validation,56.69,98.36,71.92
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/source,59.14,98.36,73.86
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/target_no_validation,56.98,98.43,72.18
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/target,58.98,98.43,73.76
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/no_validation,63.31,98.36,77.03
llama3:8b,biodiv/taxrefldChromista-ncbitaxonChromista/component/llm_with_agent,63.54,98.36,77.21
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/source_no_validation,66.73,100.00,80.04
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/source,69.59,100.00,82.07
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/target_no_validation,63.64,100.00,77.78
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/target,68.79,100.00,81.51
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/no_validation,74.22,100.00,85.20
llama3:8b,biodiv/taxrefldProtozoa-ncbitaxonProtozoa/component/llm_with_agent,74.53,100.00,85.41
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/source_no_validation,78.29,99.93,87.80
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/source,79.38,99.93,88.48
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/target_no_validation,74.03,99.85,85.03
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/target,76.30,99.86,86.51
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/no_validation,80.58,99.83,89.18
llama3:8b,biodiv/taxrefldFungi-ncbitaxonFungi/component/llm_with_agent,80.70,99.84,89.26
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/source_no_validation,72.79,99.51,84.07
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/source,75.15,99.52,85.63
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/target_no_validation,70.51,99.37,82.49
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/target,73.80,99.39,84.70
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/no_validation,76.71,99.19,86.51
llama3:8b,biodiv/taxrefldPlantae-ncbitaxonPlantae/component/llm_with_agent,76.89,99.22,86.64
llama3:8b,biodiv/envo-sweet/component/source_no_validation,10.82,59.38,18.31
llama3:8b,biodiv/envo-sweet/component/source,44.87,58.63,50.83
llama3:8b,biodiv/envo-sweet/component/target_no_validation,9.78,62.36,16.91
llama3:8b,biodiv/envo-sweet/component/target,36.29,61.49,45.64
llama3:8b,biodiv/envo-sweet/component/no_validation,37.19,57.89,45.29
llama3:8b,biodiv/envo-sweet/component/llm_with_agent,74.35,57.27,64.70
llama3:8b,biodiv/fish-zooplankton/component/source_no_validation,7.83,60.00,13.85
llama3:8b,biodiv/fish-zooplankton/component/source,42.86,60.00,50.00
llama3:8b,biodiv/fish-zooplankton/component/target_no_validation,15.79,60.00,25.00
llama3:8b,biodiv/fish-zooplankton/component/target,47.37,60.00,52.94
llama3:8b,biodiv/fish-zooplankton/component/no_validation,24.32,60.00,34.62
llama3:8b,biodiv/fish-zooplankton/component/llm_with_agent,69.23,60.00,64.29
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/source_no_validation,7.02,44.44,12.12
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/source,18.75,33.33,24.00
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/target_no_validation,5.74,38.89,10.00
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/target,12.20,27.78,16.95
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/no_validation,15.56,38.89,22.22
llama3:8b,biodiv/macroalgae-macrozoobenthos/component/llm_with_agent,33.33,27.78,30.30
